,Height
211,70.32475344
1454,67.27161533
2176,69.14227294
912,77.16080089
921,72.67696109
2746,69.33966738
1053,67.18093863
3074,68.85868023
3386,66.77491633
2947,71.70421757
2353,66.98353564
997,74.32567701
298,71.41894599
790,70.89598255
621,68.35442896
2328,67.360824
2721,71.71587
2846,71.32989784
1720,66.91489408
3486,68.83232712
1650,67.70035802
3076,65.4897624
1532,66.54078935
729,67.42985418
1601,69.23076764
2707,67.19651912
1874,69.61776378
1632,68.36897984
1003,67.8053119
2019,65.19475139
1178,66.32751733
2552,70.76876216
1204,66.46704142
3287,69.23705155
478,71.35738241
2215,69.47322704
2211,65.74097213
1047,71.62967826
2765,66.66789351
443,66.14106892
1554,71.14104788
807,65.83441968
842,68.11809783
2778,73.11969322
693,71.40596471
26,69.08963143
879,65.29891515
2123,68.41486506
2439,69.01627479
32,71.52821604
70,69.28950996
3496,69.29682996
2788,68.09296485
752,71.6055731
2670,68.52223104
51,70.18354989
1624,67.68008391
321,71.76846374
192,69.7288049
2962,67.83760801
1211,64.69929448
1175,72.12491003
2046,66.18398071
144,69.47110603
2667,68.005429
1927,74.8609076
430,76.02708186
811,67.81460188
479,68.59040604
414,68.69476215
1173,73.60300661
3368,72.31817209
889,69.25071385
501,67.38005789
1234,68.03473112
2059,71.88350042
3247,73.79893605
179,67.49221827
3335,72.36211202
1272,70.43475028
3168,67.11010034
3035,68.74838823
2547,67.42424017
3069,72.19723016
949,74.54513694
3056,66.90026045
1171,67.99840926
322,69.34345396
2320,70.36539263
139,68.14059036
1006,74.05642685
2407,69.37895012
2357,71.98000945
2168,72.56081617
196,67.25332482
1149,68.46557156
1665,70.38920071
1951,66.90478234
2254,71.41075432
602,65.93248176
2260,68.23588615
314,67.37637547
2319,65.7634935
2671,66.35133111
203,64.41152936
2655,66.65876334
1822,69.24254056
3115,68.73324896
270,72.04988987
134,63.9879246
52,68.49145025
1078,68.58935913
1068,66.51004277
183,66.59215711
3356,69.75510695
291,71.06690628
1656,70.94349959
551,60.6798174
3311,67.89040521
787,67.88722989
3021,71.41433682
1718,70.79634524
3330,72.76171062
1298,69.70225751
358,66.76210992
2698,72.10029956
2389,73.10605905
2453,67.70533285
1721,71.19658688
76,71.80918689
1055,70.88748661
279,69.28592141
17,63.97432572
3499,67.39602078
346,71.41904963
538,71.32700107
229,71.84843485
564,65.29243478
1949,74.43050131
411,67.58394143
1558,73.4461872
1236,71.33782073
2246,65.1939877
495,72.88170697
2535,71.61647581
1128,69.29416757
650,73.10087624
985,66.47376597
3331,67.63921455
3007,67.80204383
2626,67.17137404
1210,68.06637804
897,66.57798671
3282,68.08498674
1735,68.56085411
1080,63.17859731
184,71.93588658
1898,72.43950075
30,68.61811055
596,65.66755448
1242,73.12200631
1655,68.8610815
1586,66.27613841
2657,70.12788739
387,70.54924202
881,65.71817875
1134,62.92194889
410,68.76245756
2500,61.0744871
